satisfaction,nps,category,delivery,feedback
5,9,Electronics,Yes,The order arrived on time and the product quality matched my expectations.
4,6,Electronics,No,"Product quality held up, though shipping took too long."
5,10,Clothing,Yes,The order arrived on time and the product quality matched my expectations.
4,9,Other,Yes,The order arrived on time and the product quality matched my expectations.
3,6,Other,Yes,"It arrived as scheduled, yet the experience felt fairly ordinary."
5,9,Clothing,Yes,The order arrived on time and the product quality matched my expectations.
4,6,Electronics,No,"The item was good, but the delivery arrived later than expected."
5,9,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
4,10,Electronics,Yes,Everything worked out well and the package came when promised.
4,8,Other,Yes,Everything worked out well and the package came when promised.
5,10,Electronics,Yes,Everything worked out well and the package came when promised.
4,10,Other,Yes,Delivery was smooth and the item was exactly what I wanted.
4,10,Clothing,Yes,The order arrived on time and the product quality matched my expectations.
4,10,Home,Yes,Everything worked out well and the package came when promised.
5,10,Electronics,Yes,The order arrived on time and the product quality matched my expectations.
4,7,Home,No,"The item was good, but the delivery arrived later than expected."
4,8,Electronics,No,"The item was good, but the delivery arrived later than expected."
4,10,Other,Yes,Everything worked out well and the package came when promised.
4,8,Other,Yes,Delivery was smooth and the item was exactly what I wanted.
4,7,Electronics,No,"The item was good, but the delivery arrived later than expected."
4,8,Home,Yes,The order arrived on time and the product quality matched my expectations.
4,10,Electronics,Yes,The order arrived on time and the product quality matched my expectations.
5,9,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
4,8,Other,Yes,The order arrived on time and the product quality matched my expectations.
4,8,Other,Yes,The order arrived on time and the product quality matched my expectations.
4,10,Home,Yes,Delivery was smooth and the item was exactly what I wanted.
4,6,Other,No,"The item was good, but the delivery arrived later than expected."
5,10,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
4,10,Home,Yes,Delivery was smooth and the item was exactly what I wanted.
5,9,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
4,9,Home,Yes,The order arrived on time and the product quality matched my expectations.
4,9,Clothing,Yes,The order arrived on time and the product quality matched my expectations.
4,9,Other,Yes,Everything worked out well and the package came when promised.
4,6,Electronics,No,"Product quality held up, though shipping took too long."
4,9,Electronics,Yes,Everything worked out well and the package came when promised.
4,10,Electronics,Yes,The order arrived on time and the product quality matched my expectations.
4,9,Other,Yes,Delivery was smooth and the item was exactly what I wanted.
4,9,Clothing,Yes,Everything worked out well and the package came when promised.
5,9,Home,Yes,Delivery was smooth and the item was exactly what I wanted.
5,9,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
5,10,Electronics,Yes,Everything worked out well and the package came when promised.
